uce,start_pos,end_pos,length,snp_count
UCE0003-XCE0003,53995451,53995844,394,116
UCE0003-XCE0003,54066676,54067069,394,126
UCE0003-XCE0003,53825354,53825747,394,109
UCE0003-XCE0003,53766906,53767299,394,109
UCE0003-XCE0003,53904774,53905167,394,105
UCE0003-XCE0003,54059687,54060080,394,123
UCE0003-XCE0003,53854670,53855063,394,131
UCE0003-XCE0003,53758683,53759076,394,119
UCE0003-XCE0003,53999439,53999832,394,111
UCE0003-XCE0003,53930368,53930761,394,121
UCE0003-XCE0003,53718329,53718722,394,0
UCE0003-XCE0003,54135385,54135778,394,129
UCE0003-XCE0003,53895411,53895804,394,121
UCE0003-XCE0003,53836071,53836464,394,108
UCE0003-XCE0003,53942122,53942515,394,122
UCE0003-XCE0003,53816604,53816997,394,112
UCE0003-XCE0003,53974403,53974796,394,118
UCE0003-XCE0003,54108648,54109041,394,135
UCE0003-XCE0003,53986647,53987040,394,100
UCE0003-XCE0003,54071413,54071806,394,114
UCE0003-XCE0003,53795785,53796178,394,112
UCE0003-XCE0003,53760197,53760590,394,108
UCE0003-XCE0003,54115421,54115814,394,140
UCE0003-XCE0003,53809936,53810329,394,128
UCE0003-XCE0003,54132335,54132728,394,95
UCE0003-XCE0003,53707401,53707794,394,0
UCE0003-XCE0003,53760869,53761262,394,101
UCE0003-XCE0003,53983821,53984214,394,174
UCE0003-XCE0003,54092569,54092962,394,119
UCE0003-XCE0003,53840048,53840441,394,122
UCE0003-XCE0003,53828053,53828446,394,115
UCE0003-XCE0003,54077641,54078034,394,40
UCE0003-XCE0003,54091266,54091659,394,121
UCE0003-XCE0003,53883665,53884058,394,99
UCE0003-XCE0003,53772612,53773005,394,136
UCE0003-XCE0003,53735527,53735920,394,16
UCE0003-XCE0003,54108008,54108401,394,113
UCE0003-XCE0003,53748522,53748915,394,120
UCE0003-XCE0003,53737126,53737519,394,116
UCE0003-XCE0003,53833089,53833482,394,85
UCE0003-XCE0003,53910172,53910565,394,117
UCE0003-XCE0003,54121301,54121694,394,117
UCE0003-XCE0003,53816219,53816612,394,108
UCE0003-XCE0003,54115657,54116050,394,125
UCE0003-XCE0003,54146869,54147262,394,133
UCE0003-XCE0003,53832019,53832412,394,111
UCE0003-XCE0003,53731176,53731569,394,0
UCE0003-XCE0003,53895722,53896115,394,131
UCE0003-XCE0003,53786839,53787232,394,122
UCE0003-XCE0003,53761993,53762386,394,105
UCE0003-XCE0003,54017863,54018256,394,113
UCE0003-XCE0003,54113672,54114065,394,127
UCE0003-XCE0003,54129177,54129570,394,122
UCE0003-XCE0003,54052799,54053192,394,117
UCE0003-XCE0003,53891918,53892311,394,105
UCE0003-XCE0003,53891115,53891508,394,127
UCE0003-XCE0003,53894462,53894855,394,124
UCE0003-XCE0003,53889002,53889395,394,110
UCE0003-XCE0003,53873682,53874075,394,155
UCE0003-XCE0003,53960158,53960551,394,125
UCE0003-XCE0003,53984388,53984781,394,133
UCE0003-XCE0003,54074371,54074764,394,123
UCE0003-XCE0003,53885521,53885914,394,129
UCE0003-XCE0003,53923143,53923536,394,127
UCE0003-XCE0003,54012899,54013292,394,104
UCE0003-XCE0003,53958588,53958981,394,115
UCE0003-XCE0003,53815821,53816214,394,112
UCE0003-XCE0003,54109304,54109697,394,109
UCE0003-XCE0003,53925484,53925877,394,124
UCE0003-XCE0003,54100554,54100947,394,105
UCE0003-XCE0003,53728724,53729117,394,0
UCE0003-XCE0003,53755509,53755902,394,109
UCE0003-XCE0003,53813803,53814196,394,115
UCE0003-XCE0003,53783759,53784152,394,108
UCE0003-XCE0003,54062127,54062520,394,120
UCE0003-XCE0003,53845582,53845975,394,130
UCE0003-XCE0003,53821382,53821775,394,125
