uce,start_pos,end_pos,length,snp_count
UCE0010-XCE0010,53938909,53939118,210,76
UCE0010-XCE0010,53736076,53736285,210,60
UCE0010-XCE0010,53799757,53799966,210,70
UCE0010-XCE0010,53901652,53901861,210,82
UCE0010-XCE0010,53849930,53850139,210,66
UCE0010-XCE0010,53768786,53768995,210,55
UCE0010-XCE0010,53868160,53868369,210,82
UCE0010-XCE0010,54157944,54158153,210,0
UCE0010-XCE0010,54146376,54146585,210,67
UCE0010-XCE0010,53829824,53830033,210,84
UCE0010-XCE0010,53919302,53919511,210,61
UCE0010-XCE0010,53977521,53977730,210,63
UCE0010-XCE0010,54141875,54142084,210,67
UCE0010-XCE0010,54091224,54091433,210,54
UCE0010-XCE0010,53872555,53872764,210,65
UCE0010-XCE0010,54046812,54047021,210,64
UCE0010-XCE0010,53814691,53814900,210,49
UCE0010-XCE0010,53946671,53946880,210,61
UCE0010-XCE0010,53869993,53870202,210,67
UCE0010-XCE0010,54100084,54100293,210,60
UCE0010-XCE0010,54012065,54012274,210,65
UCE0010-XCE0010,54085516,54085725,210,64
UCE0010-XCE0010,53898296,53898505,210,61
UCE0010-XCE0010,53960861,53961070,210,64
UCE0010-XCE0010,54136354,54136563,210,60
UCE0010-XCE0010,53960160,53960369,210,59
UCE0010-XCE0010,54037145,54037354,210,64
UCE0010-XCE0010,53812445,53812654,210,61
UCE0010-XCE0010,54022273,54022482,210,66
UCE0010-XCE0010,53751146,53751355,210,51
UCE0010-XCE0010,54121998,54122207,210,67
UCE0010-XCE0010,54062674,54062883,210,57
UCE0010-XCE0010,53969614,53969823,210,61
UCE0010-XCE0010,53910063,53910272,210,67
UCE0010-XCE0010,53889055,53889264,210,53
UCE0010-XCE0010,53766312,53766521,210,55
UCE0010-XCE0010,54096702,54096911,210,61
UCE0010-XCE0010,53778511,53778720,210,57
UCE0010-XCE0010,53807999,53808208,210,68
UCE0010-XCE0010,53790119,53790328,210,67
UCE0010-XCE0010,53932168,53932377,210,61
UCE0010-XCE0010,53860915,53861124,210,52
UCE0010-XCE0010,54029801,54030010,210,50
UCE0010-XCE0010,53792758,53792967,210,59
UCE0010-XCE0010,53834174,53834383,210,52
UCE0010-XCE0010,53820895,53821104,210,101
UCE0010-XCE0010,53991860,53992069,210,59
UCE0010-XCE0010,54106795,54107004,210,55
UCE0010-XCE0010,53793529,53793738,210,84
UCE0010-XCE0010,53947918,53948127,210,85
UCE0010-XCE0010,54135890,54136099,210,67
UCE0010-XCE0010,53910184,53910393,210,66
UCE0010-XCE0010,53774251,53774460,210,56
UCE0010-XCE0010,53856846,53857055,210,64
UCE0010-XCE0010,53890012,53890221,210,80
UCE0010-XCE0010,53738755,53738964,210,75
UCE0010-XCE0010,53942549,53942758,210,69
UCE0010-XCE0010,53957724,53957933,210,70
UCE0010-XCE0010,54022324,54022533,210,64
UCE0010-XCE0010,54038182,54038391,210,73
UCE0010-XCE0010,53805077,53805286,210,64
UCE0010-XCE0010,53719465,53719674,210,0
UCE0010-XCE0010,53808941,53809150,210,56
UCE0010-XCE0010,53825038,53825247,210,54
UCE0010-XCE0010,54002694,54002903,210,59
UCE0010-XCE0010,53724392,53724601,210,0
UCE0010-XCE0010,53770147,53770356,210,61
UCE0010-XCE0010,54058855,54059064,210,48
UCE0010-XCE0010,53903167,53903376,210,61
UCE0010-XCE0010,54143453,54143662,210,68
UCE0010-XCE0010,53762122,53762331,210,61
UCE0010-XCE0010,53806271,53806480,210,62
UCE0010-XCE0010,54120489,54120698,210,58
UCE0010-XCE0010,53987697,53987906,210,66
UCE0010-XCE0010,53787137,53787346,210,68
UCE0010-XCE0010,54016144,54016353,210,62
UCE0010-XCE0010,53963092,53963301,210,54
UCE0010-XCE0010,53822981,53823190,210,62
UCE0010-XCE0010,53748882,53749091,210,66
UCE0010-XCE0010,53901274,53901483,210,69
UCE0010-XCE0010,53872981,53873190,210,70
UCE0010-XCE0010,53853439,53853648,210,56
UCE0010-XCE0010,53921178,53921387,210,49
UCE0010-XCE0010,53841562,53841771,210,52
UCE0010-XCE0010,53828782,53828991,210,54
UCE0010-XCE0010,53868010,53868219,210,78
UCE0010-XCE0010,54088287,54088496,210,56
UCE0010-XCE0010,53894256,53894465,210,59
UCE0010-XCE0010,54143615,54143824,210,77
UCE0010-XCE0010,53712060,53712269,210,0
UCE0010-XCE0010,53946188,53946397,210,61
UCE0010-XCE0010,54109291,54109500,210,62
UCE0010-XCE0010,54050455,54050664,210,69
UCE0010-XCE0010,54064822,54065031,210,65
UCE0010-XCE0010,54153013,54153222,210,67
UCE0010-XCE0010,54117469,54117678,210,75
UCE0010-XCE0010,54104825,54105034,210,66
UCE0010-XCE0010,53746835,53747044,210,69
UCE0010-XCE0010,53722057,53722266,210,0
UCE0010-XCE0010,53983156,53983365,210,52
UCE0010-XCE0010,54116896,54117105,210,53
UCE0010-XCE0010,54145816,54146025,210,91
UCE0010-XCE0010,54119644,54119853,210,66
UCE0010-XCE0010,53795447,53795656,210,70
UCE0010-XCE0010,53954897,53955106,210,59
UCE0010-XCE0010,53846065,53846274,210,80
UCE0010-XCE0010,53983768,53983977,210,66
UCE0010-XCE0010,53936766,53936975,210,70
UCE0010-XCE0010,53921337,53921546,210,61
UCE0010-XCE0010,54138190,54138399,210,61
UCE0010-XCE0010,54071405,54071614,210,53
UCE0010-XCE0010,53959217,53959426,210,65
UCE0010-XCE0010,53813488,53813697,210,62
UCE0010-XCE0010,54134382,54134591,210,71
UCE0010-XCE0010,54069247,54069456,210,67
UCE0010-XCE0010,53999785,53999994,210,83
UCE0010-XCE0010,53770277,53770486,210,59
UCE0010-XCE0010,53815492,53815701,210,57
UCE0010-XCE0010,53954852,53955061,210,57
