uce,start_pos,end_pos,length,snp_count
UCE0001-XCE0001,53786884,53787219,336,104
UCE0001-XCE0001,53809706,53810041,336,95
UCE0001-XCE0001,54129238,54129573,336,102
UCE0001-XCE0001,53980999,53981334,336,103
UCE0001-XCE0001,54101376,54101711,336,101
UCE0001-XCE0001,54022075,54022410,336,108
UCE0001-XCE0001,54146431,54146766,336,93
UCE0001-XCE0001,53796428,53796763,336,100
UCE0001-XCE0001,53839270,53839605,336,110
UCE0001-XCE0001,53980030,53980365,336,90
UCE0001-XCE0001,53714463,53714798,336,0
UCE0001-XCE0001,53991997,53992332,336,109
UCE0001-XCE0001,54074313,54074648,336,104
UCE0001-XCE0001,54059377,54059712,336,109
UCE0001-XCE0001,54042055,54042390,336,108
UCE0001-XCE0001,53795163,53795498,336,110
UCE0001-XCE0001,54156081,54156416,336,90
UCE0001-XCE0001,53808907,53809242,336,91
UCE0001-XCE0001,53788722,53789057,336,108
UCE0001-XCE0001,54112764,54113099,336,83
UCE0001-XCE0001,53921858,53922193,336,94
UCE0001-XCE0001,54083106,54083441,336,106
UCE0001-XCE0001,53893190,53893525,336,95
UCE0001-XCE0001,53988910,53989245,336,124
UCE0001-XCE0001,53955230,53955565,336,108
UCE0001-XCE0001,53787436,53787771,336,97
UCE0001-XCE0001,53809235,53809570,336,93
UCE0001-XCE0001,53774061,53774396,336,98
UCE0001-XCE0001,53992372,53992707,336,106
UCE0001-XCE0001,53956417,53956752,336,112
UCE0001-XCE0001,53948166,53948501,336,107
UCE0001-XCE0001,54054576,54054911,336,117
UCE0001-XCE0001,53840366,53840701,336,107
UCE0001-XCE0001,53825715,53826050,336,152
UCE0001-XCE0001,54030477,54030812,336,102
UCE0001-XCE0001,54073096,54073431,336,96
UCE0001-XCE0001,53964892,53965227,336,119
UCE0001-XCE0001,54055522,54055857,336,107
UCE0001-XCE0001,54122281,54122616,336,106
UCE0001-XCE0001,53744461,53744796,336,104
UCE0001-XCE0001,53830714,53831049,336,98
UCE0001-XCE0001,53908308,53908643,336,108
UCE0001-XCE0001,54148047,54148382,336,114
