uce,start_pos,end_pos,length,snp_count
UCE0004-XCE0004,53994143,53994368,226,76
UCE0004-XCE0004,53779653,53779878,226,68
UCE0004-XCE0004,53709246,53709471,226,0
UCE0004-XCE0004,53710145,53710370,226,0
UCE0004-XCE0004,53825956,53826181,226,91
UCE0004-XCE0004,53942028,53942253,226,68
UCE0004-XCE0004,53856066,53856291,226,69
UCE0004-XCE0004,53973753,53973978,226,65
UCE0004-XCE0004,53742640,53742865,226,58
UCE0004-XCE0004,53924291,53924516,226,60
UCE0004-XCE0004,53711164,53711389,226,0
UCE0004-XCE0004,53831844,53832069,226,60
UCE0004-XCE0004,54062468,54062693,226,79
UCE0004-XCE0004,54105906,54106131,226,55
UCE0004-XCE0004,54084730,54084955,226,65
UCE0004-XCE0004,53949105,53949330,226,74
UCE0004-XCE0004,53709843,53710068,226,0
UCE0004-XCE0004,54010321,54010546,226,71
UCE0004-XCE0004,54135102,54135327,226,70
UCE0004-XCE0004,53897147,53897372,226,60
UCE0004-XCE0004,54072859,54073084,226,70
UCE0004-XCE0004,54068655,54068880,226,65
UCE0004-XCE0004,54014460,54014685,226,63
UCE0004-XCE0004,53927683,53927908,226,66
UCE0004-XCE0004,53883685,53883910,226,61
UCE0004-XCE0004,53783689,53783914,226,61
UCE0004-XCE0004,54036316,54036541,226,68
UCE0004-XCE0004,54104378,54104603,226,60
UCE0004-XCE0004,54146810,54147035,226,74
UCE0004-XCE0004,53854889,53855114,226,79
UCE0004-XCE0004,53763883,53764108,226,56
UCE0004-XCE0004,54049469,54049694,226,78
UCE0004-XCE0004,53780333,53780558,226,60
UCE0004-XCE0004,53913760,53913985,226,81
UCE0004-XCE0004,53906605,53906830,226,62
UCE0004-XCE0004,53969033,53969258,226,61
UCE0004-XCE0004,53871043,53871268,226,69
UCE0004-XCE0004,53745624,53745849,226,47
UCE0004-XCE0004,53923961,53924186,226,64
UCE0004-XCE0004,54107143,54107368,226,60
UCE0004-XCE0004,54106504,54106729,226,69
UCE0004-XCE0004,53717445,53717670,226,0
UCE0004-XCE0004,53867234,53867459,226,65
UCE0004-XCE0004,54042467,54042692,226,74
UCE0004-XCE0004,54031883,54032108,226,57
UCE0004-XCE0004,53725097,53725322,226,0
UCE0004-XCE0004,53766368,53766593,226,70
UCE0004-XCE0004,54053102,54053327,226,65
UCE0004-XCE0004,54143973,54144198,226,63
UCE0004-XCE0004,54000048,54000273,226,71
UCE0004-XCE0004,53972908,53973133,226,66
UCE0004-XCE0004,53906162,53906387,226,72
UCE0004-XCE0004,53898465,53898690,226,64
UCE0004-XCE0004,53748481,53748706,226,66
UCE0004-XCE0004,54047962,54048187,226,59
UCE0004-XCE0004,53755138,53755363,226,71
UCE0004-XCE0004,53978087,53978312,226,56
UCE0004-XCE0004,53921973,53922198,226,61
UCE0004-XCE0004,53718660,53718885,226,0
UCE0004-XCE0004,53878442,53878667,226,78
UCE0004-XCE0004,53968115,53968340,226,67
UCE0004-XCE0004,54017904,54018129,226,61
UCE0004-XCE0004,54122599,54122824,226,58
UCE0004-XCE0004,54113228,54113453,226,69
UCE0004-XCE0004,53814571,53814796,226,58
UCE0004-XCE0004,54121641,54121866,226,70
UCE0004-XCE0004,53735220,53735445,226,0
UCE0004-XCE0004,53882217,53882442,226,62
UCE0004-XCE0004,54136235,54136460,226,44
UCE0004-XCE0004,53814618,53814843,226,57
UCE0004-XCE0004,53902268,53902493,226,70
UCE0004-XCE0004,53949630,53949855,226,60
UCE0004-XCE0004,53893775,53894000,226,66
UCE0004-XCE0004,54140938,54141163,226,63
UCE0004-XCE0004,53890136,53890361,226,94
UCE0004-XCE0004,53708273,53708498,226,0
UCE0004-XCE0004,53913088,53913313,226,65
UCE0004-XCE0004,54156885,54157110,226,0
UCE0004-XCE0004,53789433,53789658,226,62
UCE0004-XCE0004,54118633,54118858,226,73
UCE0004-XCE0004,53929691,53929916,226,59
UCE0004-XCE0004,53940080,53940305,226,68
UCE0004-XCE0004,54047896,54048121,226,56
UCE0004-XCE0004,53936955,53937180,226,72
UCE0004-XCE0004,53879472,53879697,226,62
UCE0004-XCE0004,53941412,53941637,226,70
UCE0004-XCE0004,54118026,54118251,226,64
UCE0004-XCE0004,53727306,53727531,226,0
UCE0004-XCE0004,53816090,53816315,226,63
UCE0004-XCE0004,53947913,53948138,226,89
UCE0004-XCE0004,54034627,54034852,226,73
UCE0004-XCE0004,53892046,53892271,226,59
UCE0004-XCE0004,53918199,53918424,226,57
UCE0004-XCE0004,53913880,53914105,226,83
UCE0004-XCE0004,53908621,53908846,226,67
UCE0004-XCE0004,53823778,53824003,226,73
UCE0004-XCE0004,53906014,53906239,226,67
UCE0004-XCE0004,53918981,53919206,226,63
UCE0004-XCE0004,54098553,54098778,226,77
UCE0004-XCE0004,53950527,53950752,226,67
UCE0004-XCE0004,54092950,54093175,226,73
UCE0004-XCE0004,54051769,54051994,226,57
UCE0004-XCE0004,53802151,53802376,226,55
UCE0004-XCE0004,53964942,53965167,226,77
UCE0004-XCE0004,53914890,53915115,226,80
UCE0004-XCE0004,53987091,53987316,226,58
UCE0004-XCE0004,53859767,53859992,226,92
UCE0004-XCE0004,53981612,53981837,226,58
UCE0004-XCE0004,53885972,53886197,226,94
UCE0004-XCE0004,53873382,53873607,226,75
UCE0004-XCE0004,53919131,53919356,226,70
UCE0004-XCE0004,53717047,53717272,226,0
UCE0004-XCE0004,54108728,54108953,226,86
UCE0004-XCE0004,54139527,54139752,226,54
UCE0004-XCE0004,53719435,53719660,226,0
UCE0004-XCE0004,53898311,53898536,226,65
UCE0004-XCE0004,53969394,53969619,226,73
UCE0004-XCE0004,53855220,53855445,226,56
UCE0004-XCE0004,54071228,54071453,226,48
UCE0004-XCE0004,53877478,53877703,226,64
UCE0004-XCE0004,53950390,53950615,226,78
UCE0004-XCE0004,54005672,54005897,226,91
UCE0004-XCE0004,53869165,53869390,226,63
UCE0004-XCE0004,54098184,54098409,226,51
UCE0004-XCE0004,53707605,53707830,226,0
UCE0004-XCE0004,53916905,53917130,226,69
UCE0004-XCE0004,53889058,53889283,226,59
UCE0004-XCE0004,53962916,53963141,226,71
UCE0004-XCE0004,53874545,53874770,226,74
UCE0004-XCE0004,54116628,54116853,226,67
UCE0004-XCE0004,54103717,54103942,226,57
UCE0004-XCE0004,53859073,53859298,226,58
UCE0004-XCE0004,54042681,54042906,226,94
UCE0004-XCE0004,54056198,54056423,226,55
UCE0004-XCE0004,54132888,54133113,226,74
UCE0004-XCE0004,53748999,53749224,226,66
UCE0004-XCE0004,53852496,53852721,226,65
