uce,start_pos,end_pos,length,snp_count
UCE0002-XCE0002,53850445,53850723,279,93
UCE0002-XCE0002,54068901,54069179,279,73
UCE0002-XCE0002,53822251,53822529,279,98
UCE0002-XCE0002,53704444,53704722,279,0
UCE0002-XCE0002,54113731,54114009,279,82
UCE0002-XCE0002,53767672,53767950,279,83
UCE0002-XCE0002,54041551,54041829,279,93
UCE0002-XCE0002,53852917,53853195,279,79
UCE0002-XCE0002,53904487,53904765,279,69
UCE0002-XCE0002,53721178,53721456,279,0
UCE0002-XCE0002,53977418,53977696,279,83
UCE0002-XCE0002,54069963,54070241,279,94
UCE0002-XCE0002,54124675,54124953,279,73
UCE0002-XCE0002,53931642,53931920,279,63
UCE0002-XCE0002,54086540,54086818,279,92
UCE0002-XCE0002,54063390,54063668,279,80
UCE0002-XCE0002,54025081,54025359,279,94
UCE0002-XCE0002,53923411,53923689,279,70
UCE0002-XCE0002,53890005,53890283,279,109
UCE0002-XCE0002,53892645,53892923,279,98
UCE0002-XCE0002,54054156,54054434,279,74
UCE0002-XCE0002,53743201,53743479,279,83
UCE0002-XCE0002,53976796,53977074,279,82
UCE0002-XCE0002,54124196,54124474,279,88
UCE0002-XCE0002,53963304,53963582,279,91
UCE0002-XCE0002,53880975,53881253,279,82
UCE0002-XCE0002,53970370,53970648,279,89
UCE0002-XCE0002,53740796,53741074,279,71
UCE0002-XCE0002,54152312,54152590,279,106
UCE0002-XCE0002,53925093,53925371,279,91
UCE0002-XCE0002,54105580,54105858,279,76
UCE0002-XCE0002,53806349,53806627,279,72
UCE0002-XCE0002,53817339,53817617,279,110
UCE0002-XCE0002,54079008,54079286,279,54
UCE0002-XCE0002,53734038,53734316,279,0
UCE0002-XCE0002,53994143,53994421,279,95
UCE0002-XCE0002,53799228,53799506,279,105
UCE0002-XCE0002,54087981,54088259,279,83
UCE0002-XCE0002,54044012,54044290,279,82
UCE0002-XCE0002,54074389,54074667,279,87
UCE0002-XCE0002,53851320,53851598,279,76
UCE0002-XCE0002,53823021,53823299,279,72
UCE0002-XCE0002,53950096,53950374,279,84
UCE0002-XCE0002,54057946,54058224,279,78
UCE0002-XCE0002,53726370,53726648,279,0
UCE0002-XCE0002,53811275,53811553,279,71
UCE0002-XCE0002,53887029,53887307,279,87
UCE0002-XCE0002,53878792,53879070,279,82
UCE0002-XCE0002,53870979,53871257,279,88
UCE0002-XCE0002,53985512,53985790,279,81
UCE0002-XCE0002,53848826,53849104,279,107
UCE0002-XCE0002,53960605,53960883,279,88
UCE0002-XCE0002,53916428,53916706,279,82
UCE0002-XCE0002,53754494,53754772,279,95
UCE0002-XCE0002,54067664,54067942,279,82
