uce,start_pos,end_pos,length,snp_count
UCE0005-XCE0005,53769040,53769368,329,111
UCE0005-XCE0005,53923163,53923491,329,104
UCE0005-XCE0005,53706208,53706536,329,0
UCE0005-XCE0005,54138734,54139062,329,97
UCE0005-XCE0005,53879470,53879798,329,94
UCE0005-XCE0005,54072955,54073283,329,99
UCE0005-XCE0005,53836161,53836489,329,88
UCE0005-XCE0005,53737733,53738061,329,137
UCE0005-XCE0005,53869108,53869436,329,93
UCE0005-XCE0005,54023608,54023936,329,95
UCE0005-XCE0005,53851515,53851843,329,90
UCE0005-XCE0005,53878738,53879066,329,96
UCE0005-XCE0005,53781616,53781944,329,88
UCE0005-XCE0005,54031085,54031413,329,118
UCE0005-XCE0005,53902709,53903037,329,90
UCE0005-XCE0005,53756990,53757318,329,84
UCE0005-XCE0005,53889715,53890043,329,94
UCE0005-XCE0005,53775927,53776255,329,110
UCE0005-XCE0005,54126079,54126407,329,92
UCE0005-XCE0005,53763728,53764056,329,83
UCE0005-XCE0005,54016454,54016782,329,99
UCE0005-XCE0005,54079190,54079518,329,40
UCE0005-XCE0005,54022416,54022744,329,109
UCE0005-XCE0005,53859851,53860179,329,126
UCE0005-XCE0005,54076623,54076951,329,88
UCE0005-XCE0005,53812507,53812835,329,103
UCE0005-XCE0005,54152562,54152890,329,109
UCE0005-XCE0005,53716710,53717038,329,0
UCE0005-XCE0005,53801522,53801850,329,88
UCE0005-XCE0005,53818341,53818669,329,104
UCE0005-XCE0005,53872615,53872943,329,94
UCE0005-XCE0005,53702679,53703007,329,0
UCE0005-XCE0005,53849066,53849394,329,125
UCE0005-XCE0005,53990240,53990568,329,98
UCE0005-XCE0005,54106369,54106697,329,89
UCE0005-XCE0005,54068140,54068468,329,85
UCE0005-XCE0005,53812078,53812406,329,83
UCE0005-XCE0005,53974325,53974653,329,104
UCE0005-XCE0005,54061083,54061411,329,100
UCE0005-XCE0005,53819065,53819393,329,95
UCE0005-XCE0005,54016438,54016766,329,99
UCE0005-XCE0005,53792286,53792614,329,113
UCE0005-XCE0005,53839339,53839667,329,110
